                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1593,                 4.4713,                 3.2292,                0.41193,                0.13299,                0.07126,                0.02643,                      0,                    inf,                      0,               0.070016,              0.0033316,              0.0033316
                      1,                 2.2565,                 2.7782,                 2.3242,                0.35002,                0.33359,                0.24353,                0.10472,                      0,                    inf,                      0,               0.039356,              0.0060051,              0.0060051
                      2,                  1.963,                 2.2402,                 2.0166,                0.41007,                0.37484,                0.33726,                0.15452,                      0,                    inf,                      0,              0.0080359,              0.0080186,              0.0080186
                      3,                 1.8382,                 1.9728,                 1.8817,                0.45951,                0.47522,                0.45395,                0.22334,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                      4,                 1.7445,                 1.7791,                 1.7919,                0.50549,                0.51181,                0.50175,                0.25593,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                      5,                 1.6851,                 1.6421,                 1.7327,                0.55812,                0.56195,                0.55493,                0.29419,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                      6,                 1.6373,                 1.5316,                 1.6862,                0.56812,                0.57366,                0.57676,                0.31186,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                      7,                 1.6009,                 1.4481,                 1.6523,                 0.5989,                 0.6013,                0.60987,                0.33832,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                      8,                 1.5624,                 1.3687,                  1.616,                0.67565,                0.62934,                0.62602,                0.35253,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                      9,                 1.5315,                 1.3084,                 1.5896,                0.62304,                0.64247,                0.64231,                0.36837,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
