                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8117,                 4.3542,                 4.2174,                0.00202,                0.15746,                0.00168,                0.00068,                      0,                    inf,                      0,               0.070667,              0.0032593,              0.0032593
                      1,                 3.7991,                 4.2177,                 4.1338,                0.00195,                0.15975,                 0.0019,                0.00073,                      0,                    inf,                      0,               0.040536,              0.0064621,              0.0064621
                      2,                 3.8109,                 4.0237,                 4.0141,                0.00087,                0.18593,                0.00236,                0.00054,                      0,                    inf,                      0,               0.010274,              0.0095329,              0.0095329
                      3,                 3.5504,                 3.8295,                 3.7515,                0.00413,                0.30404,                0.00536,                0.00176,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      4,                   3.23,                 3.6739,                 3.5169,                 0.0595,                0.12164,                0.01384,                0.00384,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      5,                 2.9638,                  3.475,                 3.2796,                0.31967,                0.18511,                 0.0207,                0.00646,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                      6,                 2.7739,                 3.2018,                 3.0138,                0.11793,                0.20351,                0.04597,                 0.0131,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                      7,                 2.6227,                 2.9964,                 2.8215,                0.63594,                0.07614,                0.08164,                0.02748,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                      8,                 2.4758,                 2.8234,                 2.6725,                0.32446,                 0.2361,                0.18317,                0.06723,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                      9,                 2.3543,                  2.637,                 2.5284,                0.22847,                0.15859,                0.10727,                0.03609,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     10,                 2.2733,                 2.4975,                 2.4301,                0.32531,                0.27813,                0.21956,                0.08518,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     11,                 2.1766,                 2.4205,                 2.3754,                0.23762,                0.31132,                0.16143,                0.05944,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     12,                 2.0936,                 2.3243,                 2.3117,                0.32515,                0.31552,                0.25013,                0.09804,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     13,                 2.0593,                 2.1998,                 2.2298,                0.37588,                0.35129,                0.33063,                0.14045,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     14,                 2.0241,                 2.1055,                 2.1784,                0.32815,                0.22848,                0.18338,                0.07351,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     15,                 1.9687,                 2.0403,                 2.1392,                0.38945,                0.35484,                0.26458,                0.11743,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     16,                 1.9523,                 2.0156,                 2.0913,                0.49727,                0.42853,                0.41448,                0.19374,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     17,                 1.8901,                 1.9287,                 2.0683,                0.52768,                0.46613,                0.47273,                0.22682,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     18,                  1.848,                 1.8493,                  2.003,                 0.5425,                0.48675,                0.50759,                0.24614,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     19,                 1.8566,                 1.7991,                 1.9785,                0.53742,                0.45592,                0.46931,                0.21959,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     20,                 1.8208,                 1.7805,                 1.9619,                0.44795,                0.35489,                0.35095,                0.15569,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     21,                  1.802,                  1.705,                 1.9407,                0.62518,                0.49286,                0.51957,                0.24043,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     22,                 1.7538,                 1.6968,                 1.9217,                0.59896,                0.48754,                0.52738,                0.24908,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     23,                  1.768,                 1.6778,                 1.9085,                0.55325,                0.54289,                0.54453,                0.25798,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     24,                 1.7399,                  1.608,                 1.8773,                0.57539,                 0.5738,                0.56246,                0.27281,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     25,                 1.7605,                 1.6231,                 1.9012,                0.64168,                0.53146,                0.56059,                0.26692,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     26,                 1.7202,                 1.5923,                 1.8675,                0.62862,                0.54841,                0.58881,                0.28305,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     27,                 1.6908,                 1.5584,                 1.8542,                0.63412,                0.54858,                0.58546,                0.28458,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     28,                 1.6672,                 1.5345,                 1.8277,                0.62519,                0.54007,                0.57272,                0.28528,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     29,                 1.6767,                 1.4907,                 1.8068,                0.64853,                0.59458,                 0.6126,                0.30278,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     30,                 1.6321,                 1.4534,                 1.7964,                0.61622,                0.56077,                0.59398,                0.28277,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     31,                 1.6244,                 1.4383,                 1.7857,                0.62462,                 0.5822,                0.61201,                0.30576,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     32,                 1.6305,                 1.4198,                 1.7813,                0.75364,                0.56184,                0.63476,                0.31587,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     33,                 1.5802,                 1.3951,                 1.7511,                0.66316,                0.61556,                0.64969,                0.33158,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     34,                 1.5942,                 1.3726,                 1.7669,                0.68092,                0.63199,                0.65963,                0.32791,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     35,                 1.5814,                 1.3615,                  1.749,                0.69569,                0.62211,                0.66054,                0.33479,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     36,                 1.5861,                 1.3693,                 1.7306,                0.67777,                0.63338,                0.66718,                0.34119,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     37,                 1.5441,                 1.3119,                 1.6871,                0.69308,                0.63466,                0.67221,                0.33724,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     38,                 1.5457,                 1.3373,                 1.7194,                  0.707,                0.62384,                0.67325,                0.34512,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     39,                 1.5377,                 1.3346,                 1.7111,                0.73218,                0.63343,                0.66926,                0.34687,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     40,                 1.5336,                 1.2705,                 1.7391,                0.73125,                0.61087,                 0.6645,                0.33964,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     41,                 1.5085,                 1.2126,                 1.7394,                0.72285,                0.63701,                0.69004,                 0.3591,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     42,                 1.5061,                 1.1789,                 1.7305,                0.73825,                 0.6311,                 0.6968,                0.35766,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     43,                 1.4659,                 1.1547,                 1.6961,                0.69179,                0.59331,                0.65711,                0.33692,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     44,                 1.4521,                 1.1594,                 1.6913,                 0.7406,                0.63982,                0.70236,                0.35881,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     45,                 1.4397,                 1.1177,                 1.6661,                0.75453,                0.66344,                0.71741,                0.36721,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     46,                 1.4266,                 1.1116,                 1.6517,                0.72839,                0.67067,                0.70593,                0.36471,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     47,                 1.3995,                 1.0859,                  1.629,                 0.7302,                0.68382,                0.71969,                0.37521,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     48,                 1.4025,                 1.1018,                 1.6522,                0.74649,                0.67747,                0.71891,                0.37223,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     49,                 1.3883,                 1.0736,                 1.6496,                0.75158,                0.67678,                0.71807,                0.37554,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
