                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4849,                 3.9842,                 3.9872,                0.26168,                0.02008,                0.01158,                0.00295,                      0,                    inf,                      0,               0.070109,              0.0033213,              0.0033213
                      1,                 2.9019,                 3.1188,                  3.299,                0.39834,                0.12465,                 0.0885,                0.03566,                      0,                    inf,                      0,               0.039845,              0.0063911,              0.0063911
                      2,                 2.1764,                 2.3411,                 2.6138,                0.81957,                0.42143,                0.48622,                0.27181,                      0,                    inf,                      0,              0.0093177,              0.0091969,              0.0091969
                      3,                 1.8294,                 1.8707,                 2.2257,                  0.863,                0.51006,                 0.5822,                0.34781,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                      4,                 1.6554,                 1.6073,                 2.0105,                0.86163,                0.49655,                0.57521,                0.35517,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                      5,                 1.5582,                 1.4537,                 1.9095,                0.68026,                0.57433,                0.63466,                0.41819,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                      6,                 1.4897,                 1.3345,                  1.828,                0.90034,                0.57069,                0.66066,                0.44159,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                      7,                 1.4316,                 1.2491,                 1.7815,                0.65923,                 0.5396,                0.60987,                0.39466,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                      8,                 1.3844,                 1.1735,                 1.7257,                0.90474,                0.56757,                0.67562,                 0.4484,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                      9,                 1.3594,                 1.1353,                 1.7028,                0.73392,                0.64321,                0.71317,                0.49682,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     10,                 1.3129,                 1.0702,                 1.6624,                 0.7101,                0.62245,                0.72234,                0.50846,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     11,                 1.2834,                 1.0311,                 1.6353,                0.92947,                0.58286,                0.71829,                0.48145,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     12,                 1.2585,                  1.001,                 1.6165,                0.78864,                0.63781,                0.74229,                0.51288,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     13,                  1.238,                 0.9723,                 1.5962,                0.79909,                0.70039,                0.77328,                0.53087,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     14,                 1.2069,                0.93711,                 1.5682,                0.74114,                0.67246,                 0.7584,                0.53917,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     15,                 1.1669,                0.80206,                  1.595,                 0.7624,                0.70836,                0.75902,                 0.5365,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     16,                 1.1319,                0.76874,                 1.5667,                0.83677,                0.71835,                0.79705,                0.56693,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     17,                 1.1043,                0.72686,                 1.5374,                0.84041,                0.73654,                0.82326,                0.58927,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     18,                 1.0684,                  0.691,                 1.5077,                0.84067,                  0.778,                0.82801,                0.60187,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     19,                 1.0461,                0.67005,                 1.4862,                0.82714,                0.77335,                0.81645,                0.60445,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     20,                 1.0194,                0.64172,                 1.4632,                0.82889,                0.77715,                0.83619,                0.61865,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     21,                0.99527,                0.61881,                 1.4432,                0.80884,                0.75235,                0.82834,                0.60277,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     22,                0.97234,                0.60132,                 1.4213,                0.84949,                0.81904,                0.85573,                0.63359,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     23,                0.95311,                0.58248,                 1.4029,                0.87039,                0.78342,                0.83935,                0.62669,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     24,                 0.9354,                0.56713,                 1.3875,                0.86859,                0.80782,                0.85264,                0.64982,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
